Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,Affected_by_Climate_Change
2001,India,West Bengal,Corn,18.83528072607016,881.2094217772988,15.22,2.0959154347582443,10,14.54,10.08,14.78,47.24069921428347,Water Management,625.9005810161535,0
2024,China,North,Corn,19.996607739832164,1170.4564650715668,29.82,0.6072280240355385,10,11.05,33.06,23.25,30.0,Crop Rotation,463.7264692399063,1
2001,France,Ile-de-France,Wheat,27.376367085459272,875.9155813810912,25.75,2.5124265428701342,10,84.42,27.41,65.53,62.54789641921419,Water Management,771.3250123440683,0
2001,Canada,Prairies,Coffee,22.598485799497226,951.309461425338,13.91,2.169259134465638,10,94.06,14.38,87.58,60.84888077642592,No Adaptation,707.3426855635525,0
1998,India,Tamil Nadu,Sugarcane,18.127931337271193,983.7085904028824,11.81,2.2480217801078957,8,95.75,44.35,88.08,46.515097505836124,Crop Rotation,602.910528338094,0
2019,USA,Midwest,Coffee,13.99370723600996,868.8927473773911,10.73,2.021653328832204,10,52.45,26.06,71.56,44.333057139110885,Water Management,550.2545582832879,0
1997,Argentina,Northeast,Fruits,23.70456843086752,971.7157335631109,27.7,2.403723992425092,10,20.22,0.56,28.72,69.14788629078055,Organic Farming,501.9710334574871,0
2021,Australia,New South Wales,Rice,17.15075224875614,774.563004999029,7.77,2.705355187914634,7,66.53,13.44,40.5,47.548748838925555,Drought-resistant Crops,844.5335612444221,0
2012,India,Punjab,Wheat,17.285602006121533,802.574841471375,6.1,3.9892944357201423,3,45.87,10.09,32.54,72.93842150693051,Water Management,811.6112646241245,0
2018,Nigeria,North West,Barley,23.753282312814893,989.2274718409745,25.74,2.009935863374963,10,25.74,44.38,72.92,52.14381128611915,No Adaptation,510.31239782264834,1
2006,Nigeria,South East,Sugarcane,15.081898385336887,667.7070766868934,5.49,4.137074269375311,1,19.17,4.38,12.02,67.48182997983665,Water Management,863.4555563624576,0
1997,France,Grand Est,Coffee,19.110406192429945,915.0949144979014,13.11,1.8320283100783945,10,70.38,20.54,27.25,40.40726620508049,Water Management,418.1181544177722,0
1993,Russia,Northwestern,Vegetables,22.04908337372866,988.917982318827,14.22,1.9577644095497984,10,12.49,10.95,32.76,56.454589087620334,Drought-resistant Crops,373.9428919139405,0
2003,USA,Northeast,Barley,24.454471987300614,761.0247313044715,11.45,2.6228115779990224,9,57.37,19.48,46.13,60.52374102376819,Drought-resistant Crops,606.3110590631177,0
1999,Nigeria,North West,Soybeans,18.012668116617004,901.7438552653363,20.15,2.5348743978656403,10,47.13,32.95,8.69,68.71611415576261,Drought-resistant Crops,729.351834156416,0
1990,France,Grand Est,Soybeans,12.889927305171572,783.1679154687209,5.41,3.528747682684098,4,62.01,2.49,27.56,56.7973980871741,Drought-resistant Crops,714.4095369873675,0
2018,Brazil,North,Barley,16.73115307638953,792.5272564939717,6.01,3.405318892874158,5,52.71,28.15,61.34,63.39745900075088,Drought-resistant Crops,811.085043062887,0
2017,Nigeria,North West,Coffee,17.61041243770191,843.2022143659917,11.71,2.096825241165717,10,84.04,19.86,21.74,48.69388616279718,Crop Rotation,241.43283957218392,0
1997,Brazil,Northeast,Rice,24.02467572002413,975.0217366015872,29.55,1.9763410633184364,10,29.84,48.57,3.21,45.83234379886066,No Adaptation,513.5371881263832,1
2015,Russia,Siberian,Cotton,25.169836584249175,935.0056543920556,23.38,2.200291064612758,10,47.81,29.58,24.76,55.948768983784376,Organic Farming,747.3992554834632,0
2000,Australia,New South Wales,Rice,23.791359160766568,915.7998652475442,15.83,2.4277015205133154,10,94.75,13.7,42.84,65.33735071610809,Organic Farming,718.8097875875378,0
2016,India,West Bengal,Soybeans,28.385251722658502,1028.989723914541,29.18,1.6654625038467366,10,29.32,37.8,99.09,45.499747100908536,No Adaptation,331.68936856227697,1
1996,Argentina,Northwest,Coffee,14.868396306715859,907.1208829773559,28.44,2.5585183451925633,10,41.15,18.3,85.97,69.00374254509217,Drought-resistant Crops,529.5912760241035,0
2010,Australia,Victoria,Coffee,23.45914553120713,932.8525841631689,8.66,2.379526569908933,9,39.88,29.31,79.91,52.562832673823856,Drought-resistant Crops,530.6122979411066,0
2002,France,Nouvelle-Aquitaine,Vegetables,24.998755191897768,1028.6199631387826,16.61,1.7119439995063828,10,34.96,16.61,72.55,52.59434423146911,Water Management,433.3236090194222,0
1996,USA,South,Soybeans,32.4567300654667,792.5739818924275,26.56,2.4093430166426195,10,88.61,29.11,27.82,52.16868351248558,No Adaptation,592.3898456072637,0
2021,Canada,Quebec,Fruits,24.09985106305234,849.9906799007086,7.63,2.3263530356374837,10,32.79,42.52,85.46,61.096378792340005,No Adaptation,529.3386696053273,0
2011,Brazil,Southeast,Corn,14.936244962608573,906.8112227200033,11.91,1.6740898339819248,10,79.2,25.19,67.56,35.01142792495791,Organic Farming,409.8970720898365,0
1999,Argentina,Northeast,Fruits,20.873842750706697,793.843348093072,7.29,2.240252799913847,10,33.33,1.59,99.13,52.64718427404136,Organic Farming,558.4713534982482,0
1997,Australia,Victoria,Wheat,27.142726046154344,995.1394048954596,13.16,1.916762264626426,10,72.38,48.77,12.25,55.34614370668563,Drought-resistant Crops,496.70269840345156,0
1995,Canada,Quebec,Cotton,24.690526500119788,917.898888050678,19.6,2.1523413914354474,10,35.12,21.71,82.16,51.910716506022794,No Adaptation,419.00927804341103,0
2018,Canada,Prairies,Fruits,25.600193136222543,735.6672010982028,11.39,2.4335930240912997,8,77.23,34.58,85.28,47.741074994222885,Drought-resistant Crops,570.2693293602172,0
2002,Canada,Prairies,Soybeans,19.733835177656964,600.2574361071734,1.31,3.556073517948111,0,15.47,33.16,80.93,42.17390391381744,No Adaptation,960.0801237770781,0
2024,Canada,Ontario,Barley,23.160460735012535,735.8285560940051,28.86,2.110749253100754,10,41.07,39.69,31.4,38.47043568260901,No Adaptation,531.9859293532206,0
2004,China,East,Rice,27.323646898833893,978.5326456669067,18.33,2.028555310039751,10,34.21,13.13,81.9,58.75440902499676,Drought-resistant Crops,383.0581805201116,0
1999,China,South,Vegetables,27.016271018377022,1096.2375916982796,21.25,1.3175465677698592,10,36.9,15.6,35.02,43.408265094730424,Organic Farming,436.9664842383588,0
2015,Brazil,North,Sugarcane,26.996690038786802,1091.6921987521978,23.52,1.2304126848844326,10,75.67,1.73,78.02,40.47796050383601,No Adaptation,515.1486481642921,1
2008,Brazil,North,Fruits,21.403014854160357,1284.3977250402659,20.22,0.0,10,81.71,27.63,15.3,30.0,Drought-resistant Crops,50.0,0
2005,Brazil,Southeast,Cotton,19.504875484429807,777.2403665538475,14.43,2.304926727645365,10,97.01,12.87,67.32,60.76813886107585,Crop Rotation,665.8733205125858,0
1998,Argentina,Pampas,Soybeans,18.100750243002445,767.1055409631917,17.36,2.2931754184368014,10,11.62,9.55,80.77,57.382073306347685,Crop Rotation,443.5809345991,0
2020,Australia,Western Australia,Sugarcane,14.21362057967391,742.0056311390185,13.69,2.433933212122736,10,23.95,39.15,67.61,66.19203197698201,Water Management,643.0466681793839,0
2019,Russia,Volga,Vegetables,17.67867310005522,719.9250571216992,3.98,3.243515126084564,5,59.71,24.21,79.19,63.61129991363052,Organic Farming,776.0301638862447,0
1994,Russia,Northwestern,Cotton,21.360531940271215,893.4667098134389,17.3,2.6376023371958612,10,60.14,8.3,87.68,75.45308272310378,Drought-resistant Crops,690.2613817059896,0
2019,Argentina,Pampas,Rice,27.433472551997596,915.9101728091557,25.67,1.9740346528168027,10,18.4,8.92,70.37,40.62033047968706,Organic Farming,476.8313757471037,1
1991,Brazil,Northeast,Cotton,16.059647658453557,653.2321235414938,4.34,3.3188863592749316,3,98.36,39.57,99.73,50.828036462512756,No Adaptation,649.5528145198814,0
2024,USA,South,Wheat,13.139604571085613,986.9668386054356,19.1,1.7467973813793787,10,36.61,43.15,22.46,40.24483880179401,Water Management,607.719282576342,0
1998,Brazil,South,Rice,19.113661219378237,909.2011886201119,13.89,2.4226175281113496,10,41.49,16.31,94.79,65.36824465685022,Drought-resistant Crops,552.9725977426265,0
2022,China,South,Barley,23.00904187691007,904.2024857603551,23.76,2.100866273488408,10,40.98,38.94,77.96,42.21183977597756,Organic Farming,623.6356140370292,0
2015,Argentina,Northwest,Rice,25.85010996947061,828.7946379959094,18.26,2.6687082741640786,10,18.34,35.77,77.36,71.49862180915876,Organic Farming,787.2399094604278,0
2007,Brazil,Southeast,Soybeans,19.166141884405558,977.3868494964315,29.03,2.1926254258180244,10,80.98,25.2,92.15,63.86247981683255,No Adaptation,691.6415825752027,0
2002,China,South,Sugarcane,18.47431864705598,1088.2172866147075,20.78,1.4409655862396065,10,96.9,41.57,56.67,46.26239174708637,Crop Rotation,555.1488147874932,0
2007,India,West Bengal,Vegetables,20.989398715228802,643.2565520466126,5.55,4.098184407683375,0,89.47,28.15,86.71,60.50321961539327,Water Management,1079.4571014538499,0
1992,Canada,Quebec,Sugarcane,24.61917189585423,851.85314626462,14.37,2.451618835940582,10,52.24,35.28,77.08,63.36256741824469,Crop Rotation,377.9775521060536,0
2016,India,Maharashtra,Cotton,18.350079060128227,859.0033874028979,15.29,2.4599887621206085,10,28.39,1.51,83.17,67.22980504562715,Organic Farming,793.4208528809045,0
2013,India,Punjab,Cotton,21.101324903936735,853.6342911638602,1.43,4.171466485183425,0,45.61,30.89,34.09,58.6168412025206,Crop Rotation,913.3260674641258,0
2013,Canada,Quebec,Cotton,14.219097799744986,784.1665826346184,6.84,3.2648942340674036,5,63.51,32.3,94.56,54.27982990139879,Drought-resistant Crops,876.3149237292087,0
2016,Argentina,Northwest,Coffee,21.954449851004536,834.911065499742,28.17,2.4744085507528077,10,63.71,39.88,65.56,57.38166568378759,Water Management,762.2852015309957,0
2008,France,Ile-de-France,Soybeans,15.906931368942018,947.4548648420523,24.41,2.3162967963787793,10,58.59,18.34,48.92,59.93428954109153,Drought-resistant Crops,583.2977962049143,0
1992,France,Ile-de-France,Coffee,21.528230659370475,880.7467952642048,28.51,2.327908840680072,10,13.14,14.9,73.25,50.23745042428092,Crop Rotation,650.2676755946642,0
1998,India,Punjab,Sugarcane,21.443433997654637,880.6972894017515,8.01,2.323507564534362,10,40.5,29.23,5.94,58.84133079241416,No Adaptation,662.2830810247535,0
2023,USA,Northeast,Cotton,22.788442463535958,1080.5778808153834,29.28,1.420891493095487,10,70.31,5.8,49.85,39.95197567742539,Crop Rotation,427.18347536743175,1
2014,Canada,Prairies,Coffee,23.261189299233642,806.5313974443904,24.08,2.671590512190311,10,52.5,35.34,79.04,67.74107360106764,No Adaptation,753.6595724642657,0
1999,Australia,Victoria,Barley,28.774094962418886,918.6683028557711,15.74,1.9466520399891927,10,17.42,10.26,47.41,42.377028747117606,No Adaptation,390.0548310675355,0
2021,USA,Northeast,Fruits,24.863171340251682,770.6522738831072,25.99,2.832975773703937,10,44.5,4.74,20.44,73.46317166471755,No Adaptation,701.5188651823544,0
2003,France,Ile-de-France,Cotton,15.873596860195455,789.9005087236757,2.54,4.351584674649851,0,79.09,40.56,79.56,60.811430623218016,No Adaptation,937.7813751216274,0
2012,France,Provence-Alpes-Cote d’Azur,Coffee,20.746047169077183,857.8138205238586,2.71,3.3627615578909507,4,67.6,5.22,70.83,55.5915141680934,Organic Farming,797.4359629981062,0
2011,USA,West,Corn,26.795656498473733,947.8734089995374,21.33,2.249765097340756,10,94.85,47.02,35.76,57.397624857956316,Drought-resistant Crops,517.3049164913098,0
2002,India,Punjab,Corn,30.118618108162146,966.5370583638115,23.27,2.055944433280273,10,19.87,37.64,5.83,50.07380750556681,Water Management,635.0349565867167,1
1991,China,East,Wheat,19.58793393866627,762.9773608873793,9.86,2.4917811232677494,10,27.81,38.14,54.45,66.60579293324854,Water Management,578.0248747079977,0
2000,Nigeria,North West,Rice,9.173266780315686,564.5986612994078,10.44,3.6141213972803006,1,85.26,24.41,5.04,60.74703091486433,No Adaptation,866.4970100969392,0
2019,USA,Northeast,Vegetables,19.691133631023142,988.216821949092,27.04,1.9698394451135015,10,15.98,9.0,49.51,50.78752518229132,No Adaptation,619.3814474095992,1
2008,Australia,Victoria,Coffee,25.264341590923667,786.8608770235612,4.95,3.719436421500275,5,42.74,13.81,90.6,75.41020883981263,Crop Rotation,846.1579404051872,0
1996,Nigeria,South East,Wheat,20.333809102940137,795.0155568983802,18.68,2.447623766024576,10,11.15,39.42,77.79,58.97888269389745,Drought-resistant Crops,327.3830046175576,0
2014,Russia,Central,Rice,18.364425723726285,888.1380648762636,8.17,3.640130403970418,3,32.18,43.7,32.04,61.66839001989953,No Adaptation,738.2873999400492,0
2006,Brazil,North,Cotton,16.642884237070547,1169.6164790531893,14.92,0.41658026000645965,10,49.95,0.72,69.54,30.0,Drought-resistant Crops,539.4720151691284,0
2009,China,East,Rice,20.055289449209752,865.7956897717895,15.22,2.4262565728098053,10,87.06,26.28,27.15,68.76610472366943,No Adaptation,651.011676715777,0
2012,Brazil,Northeast,Barley,17.55408915564982,758.0275876954478,10.19,1.9989798485322532,10,31.78,37.84,51.63,43.03573081253576,Organic Farming,459.70554793325647,0
1999,Australia,Victoria,Vegetables,27.876012737763787,1183.2478679571534,12.98,0.34513360037466656,10,67.7,15.46,76.52,30.0,No Adaptation,372.31883002080656,0
2011,Nigeria,North Central,Soybeans,18.30089907938586,778.2327385488508,2.03,3.9114691955064833,3,81.72,3.22,28.51,70.38623459677554,Crop Rotation,864.4518242242011,0
2015,France,Nouvelle-Aquitaine,Cotton,18.051341846851866,798.9344541860834,10.09,2.3668585675655702,10,34.62,47.72,28.42,60.282516471239035,Crop Rotation,616.4589472221201,0
2023,Canada,Quebec,Wheat,18.95159752262693,810.036227435564,4.03,4.0968922020324445,0,67.09,17.28,11.43,49.95042523528978,Water Management,1085.8023481608736,0
2013,Argentina,Pampas,Cotton,27.648983259833347,859.2741894755311,28.43,2.8085877492444333,10,73.17,36.38,29.44,73.97567616530411,Organic Farming,427.9336679553273,0
2020,France,Ile-de-France,Coffee,21.397308606466105,903.7487448485797,22.3,2.1160854175902104,10,91.45,21.36,80.76,48.015777291537745,Water Management,417.2707263318965,0
2002,France,Nouvelle-Aquitaine,Vegetables,12.14353937886338,879.6311779008017,4.1,4.065542558187681,0,17.76,30.24,92.96,54.00213922934633,Organic Farming,946.0245524682691,0
2024,Brazil,Southeast,Rice,20.680083661950256,787.2085302902191,12.26,2.472095529039603,10,31.21,16.7,70.48,66.41256884600871,Water Management,704.5296606735251,0
1991,Brazil,North,Corn,14.871868579345215,697.6779122728319,3.12,4.038730412704231,0,26.25,17.02,58.6,49.60831523603122,Water Management,1132.8087010619356,0
2019,Australia,New South Wales,Wheat,18.45615270177494,1090.5073230853302,26.35,1.2588826324798486,10,76.52,40.08,6.97,41.16281172728688,Drought-resistant Crops,551.599411968937,1
2024,Argentina,Patagonia,Coffee,22.118881775168415,697.8723779959187,20.71,2.33564161703149,10,58.99,47.96,3.9,54.14138393622473,Water Management,763.5564262689973,0
2016,Brazil,Northeast,Soybeans,21.334419620965598,949.5565945992569,22.53,2.450004389966902,10,66.03,7.04,47.21,68.61212377442735,Water Management,387.04746723105507,0
2017,China,South,Rice,19.84965897522289,913.0571123525426,18.72,2.5873318889101737,10,78.76,29.83,59.12,70.02264291004536,Water Management,575.6355539289559,0
2005,China,South,Corn,21.996378861781174,672.914557260746,9.59,2.930272661096717,6,97.18,7.13,97.28,55.68752486575774,Crop Rotation,744.3061181521075,0
1993,USA,West,Rice,14.790577891219305,854.8320465896395,18.64,2.563805393186895,10,91.05,3.76,99.89,71.4277945653678,Crop Rotation,711.7096610401768,0
2022,China,South,Wheat,19.0097302259566,966.7498035053235,16.84,2.185382086194253,10,81.07,44.5,92.19,60.030540216312176,Drought-resistant Crops,556.3702608455799,0
2010,Brazil,North,Vegetables,23.281637297065263,620.4663328944458,13.85,2.0712181422259444,10,77.04,15.94,92.54,58.53514577567453,Water Management,446.81176775267664,0
2012,Russia,Siberian,Wheat,21.73247714457754,736.1990764185842,13.9,2.124438365317403,10,90.97,22.28,70.33,51.969011330555595,Crop Rotation,658.2414363311723,0
1997,Argentina,Northwest,Soybeans,23.579415139776366,819.1291867291707,0.75,2.786972788376123,8,59.77,19.44,22.5,64.4794282005492,Crop Rotation,1008.3164151005095,0
2009,Russia,Central,Fruits,22.476802240661787,626.5224289897787,3.4,3.862167427547778,0,67.18,24.77,34.96,52.39176768387589,Organic Farming,659.9006778465983,0
2016,Nigeria,South East,Barley,21.525281956079475,997.7943056346387,20.97,1.7429835090185701,10,79.63,37.27,16.96,44.10336440414095,Water Management,471.16172927311464,0
2011,Australia,Western Australia,Soybeans,23.064278996543877,754.5173884433734,5.14,3.3967243421643945,5,51.48,14.31,91.02,68.91171099671769,Organic Farming,878.163484436001,0
2004,Nigeria,North West,Corn,21.89516142659714,904.0468242523744,11.44,2.6492271955823905,8,37.67,16.76,29.79,59.10682815269031,Water Management,634.4736816884692,0
1998,India,Punjab,Soybeans,25.44833949952658,634.3993966754408,1.55,1.6336539670798147,10,97.69,8.28,56.73,44.16832783235072,Organic Farming,580.9691575407395,0
2009,Russia,Northwestern,Wheat,21.073684040473747,1105.7870487846792,12.7,0.9018712455719995,10,93.41,8.64,85.61,31.594297147200656,Organic Farming,196.6458640586958,0
1990,Canada,Quebec,Corn,21.050732177018837,832.4273582447678,5.03,2.986267873788098,6,13.92,5.8,9.44,55.35506038553657,Crop Rotation,649.1659650425889,0
2020,India,West Bengal,Sugarcane,21.900328295354004,898.4817124890633,20.51,2.4269429551837094,10,76.58,48.2,73.87,58.25889410721584,No Adaptation,567.6685769257706,0
1992,Canada,Prairies,Wheat,22.33972961062825,837.2879168871884,18.34,2.7006627953197024,10,17.03,35.39,93.24,70.32469036066328,No Adaptation,554.1984326044478,0
2009,France,Ile-de-France,Rice,24.544113374215808,603.9998126265344,12.36,2.034317786929704,10,65.4,26.85,9.25,61.588685222319256,No Adaptation,605.8189729027524,0
2003,Canada,Ontario,Vegetables,23.20804718145365,821.945688543518,0.86,4.529791605191252,0,66.34,29.28,96.7,72.23546838890258,No Adaptation,964.0889579790511,0
1995,Nigeria,North Central,Fruits,23.8436157558519,825.5967087483099,14.99,2.3799988576685056,10,50.59,46.13,75.53,58.214782293008504,Crop Rotation,554.0462651799965,0
2017,Argentina,Northeast,Coffee,15.839945254114713,835.0040197825803,12.07,3.0116698519487684,7,14.68,19.33,95.18,63.634384227194204,Organic Farming,686.581133454701,0
1995,Argentina,Northwest,Corn,13.353283812660514,947.0204944715332,1.41,3.0274353785291654,5,89.41,37.29,66.26,61.09094062916637,Drought-resistant Crops,867.5356437919996,0
2018,Nigeria,South East,Soybeans,22.24411564682545,838.5411612336405,16.8,2.433315780135179,10,75.74,39.31,45.94,60.56060844321314,Crop Rotation,769.6722458965405,0
2002,France,Grand Est,Fruits,14.43977647534085,752.4458157122461,2.87,4.026489248474956,1,47.34,30.39,62.65,59.235672405945344,No Adaptation,819.2027905736198,0
2014,Australia,Queensland,Rice,17.910965763220155,995.0287816231305,25.0,1.7201947161009792,10,49.68,31.24,30.4,41.814481106794204,Water Management,239.7269785212469,1
2012,China,North,Wheat,26.48707540271952,1126.8777662412285,8.9,0.6538872845623485,10,81.95,40.76,20.74,34.54814521363535,Organic Farming,282.3160351392827,0
2019,Australia,New South Wales,Rice,18.989561775079547,943.4812151803436,25.76,2.212500972694397,10,90.53,30.61,37.22,53.73739428803168,Drought-resistant Crops,496.39846959182114,0
2008,Canada,Quebec,Wheat,24.257512665412165,996.6541810814501,1.97,1.8943605866615687,8,98.87,27.45,45.05,41.933699814196736,Water Management,498.43412011550663,0
